Price,Adj Close,Close,High,Low,Open,Volume,Ticker,Returns,Log_Returns
Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,,,
Date,,,,,,,,,
2022-01-03,15832.7998046875,15832.7998046875,15832.7998046875,15644.08984375,15732.5,4429960000,^IXIC,,
2022-01-04,15622.7197265625,15622.7197265625,15852.1396484375,15512.41015625,15852.1396484375,5131110000,^IXIC,-0.013268662568625578,-0.013357477786139719
2022-01-05,15100.169921875,15100.169921875,15586.2998046875,15095.1796875,15547.16015625,5031850000,^IXIC,-0.033448068827544475,-0.034020250610684456
2022-01-06,15080.8603515625,15080.8603515625,15198.4501953125,14914.8701171875,15024.150390625,4790820000,^IXIC,-0.0012787651008169254,-0.0012795834186070055
2022-01-07,14935.900390625,14935.900390625,15171.01953125,14877.6298828125,15095.7197265625,4238070000,^IXIC,-0.009612181106264384,-0.009658676305817711
2022-01-10,14942.830078125,14942.830078125,14953.849609375,14530.23046875,14751.7802734375,5317180000,^IXIC,0.0004639618180870553,0.0004638542210820489
2022-01-11,15153.4501953125,15153.4501953125,15158.7099609375,14837.6298828125,14919.259765625,4390710000,^IXIC,0.014095062052256635,0.013996650333214698
2022-01-12,15188.3896484375,15188.3896484375,15319.0302734375,15117.2900390625,15263.099609375,4338530000,^IXIC,0.0023057094374328013,0.0023030553683197528
2022-01-13,14806.8095703125,14806.8095703125,15259.7099609375,14782.240234375,15245.0400390625,4302020000,^IXIC,-0.025123142542254673,-0.025444116004150107
2022-01-14,14893.75,14893.75,14897.6796875,14689.4296875,14708.01953125,4374020000,^IXIC,0.005871651774452147,0.005854480809005953
2022-01-18,14506.900390625,14506.900390625,14740.5400390625,14482.9404296875,14681.830078125,5060790000,^IXIC,-0.025973956147712918,-0.026317236629027907
2022-01-19,14340.259765625,14340.259765625,14658.8896484375,14331.650390625,14582.2197265625,4665340000,^IXIC,-0.011486990364095284,-0.0115534754708123
2022-01-20,14154.01953125,14154.01953125,14642.0302734375,14140.7802734375,14462.849609375,5102050000,^IXIC,-0.012987228782384785,-0.013072300202161257
2022-01-21,13768.919921875,13768.919921875,14171.7197265625,13764.240234375,14046.2197265625,5870830000,^IXIC,-0.02720779129382689,-0.027584776944810815
2022-01-24,13855.1298828125,13855.1298828125,13876.6103515625,13094.650390625,13481.5,6998770000,^IXIC,0.0062611999653316985,0.0062416800890232665
2022-01-25,13539.2900390625,13539.2900390625,13781.6201171875,13414.1396484375,13610.8701171875,5019380000,^IXIC,-0.02279587751406098,-0.023059720935797518
2022-01-26,13542.1201171875,13542.1201171875,14002.650390625,13392.1904296875,13871.76953125,5771140000,^IXIC,0.00020902706987113717,0.0002090052267569828
2022-01-27,13352.7802734375,13352.7802734375,13765.91015625,13322.66015625,13710.990234375,5177380000,^IXIC,-0.013981551050466057,-0.01408021365238414
2022-01-28,13770.5703125,13770.5703125,13771.91015625,13236.5595703125,13436.7099609375,4971930000,^IXIC,0.03128861783890824,0.030809105566975335
2022-01-31,14239.8798828125,14239.8798828125,14242.900390625,13767.7099609375,13812.1904296875,5124940000,^IXIC,0.03408061973195786,0.03351274183982503
2022-02-01,14346.0,14346.0,14358.6904296875,14070.76953125,14277.4296875,4671850000,^IXIC,0.007452318282233916,0.007424686951740739
2022-02-02,14417.5498046875,14417.5498046875,14504.8203125,14264.650390625,14494.4697265625,4673140000,^IXIC,0.004987439334134924,0.004975043257946109
2022-02-03,13878.8203125,13878.8203125,14207.8896484375,13851.740234375,14045.830078125,4326300000,^IXIC,-0.03736623070394007,-0.038082241390358755
2022-02-04,14098.009765625,14098.009765625,14222.759765625,13850.3896484375,13958.48046875,4121340000,^IXIC,0.01579308962791215,0.015669676475386397
2022-02-07,14015.669921875,14015.669921875,14236.3095703125,13974.099609375,14118.7900390625,4268730000,^IXIC,-0.0058405296292791675,-0.005857652225023406
2022-02-08,14194.4501953125,14194.4501953125,14226.48046875,13934.7802734375,13984.4296875,4293770000,^IXIC,0.012755742282319904,0.01267507307453662
2022-02-09,14490.3701171875,14490.3701171875,14490.7197265625,14330.8701171875,14368.16015625,4729730000,^IXIC,0.020847579004696026,0.020633242048742065
2022-02-10,14185.6396484375,14185.6396484375,14509.5595703125,14118.2001953125,14228.6796875,5212510000,^IXIC,-0.021029860954935087,-0.02125413840295057
2022-02-11,13791.150390625,13791.150390625,14246.7001953125,13733.16015625,14213.6201171875,5237320000,^IXIC,-0.027809056735481952,-0.028203050126456884
2022-02-14,13790.919921875,13790.919921875,13921.7099609375,13664.759765625,13768.9697265625,4347350000,^IXIC,-1.6711350646736456e-05,-1.671149028291235e-05
2022-02-15,14139.759765625,14139.759765625,14142.490234375,13976.2900390625,13997.1796875,4416840000,^IXIC,0.025294892996708285,0.024980271697116627
2022-02-16,14124.08984375,14124.08984375,14163.73046875,13931.990234375,14038.919921875,4238560000,^IXIC,-0.0011082169806798658,-0.0011088315071790878
2022-02-17,13716.7197265625,13716.7197265625,14020.8203125,13704.7001953125,14004.1904296875,4278370000,^IXIC,-0.02884222075150311,-0.029266332389069793
2022-02-18,13548.0703125,13548.0703125,13762.400390625,13465.5595703125,13735.400390625,4501940000,^IXIC,-0.012295170961021396,-0.012371381904165955
2022-02-22,13381.51953125,13381.51953125,13618.7197265625,13249.650390625,13424.3603515625,4849170000,^IXIC,-0.012293321292873194,-0.0123695092126878
2022-02-23,13037.490234375,13037.490234375,13533.7802734375,13032.169921875,13511.75,4639330000,^IXIC,-0.025709284814148692,-0.026045544324412112
2022-02-24,13473.58984375,13473.58984375,13486.1103515625,12587.8798828125,12587.8798828125,6180200000,^IXIC,0.03344965952305512,0.03290239021903263
2022-02-25,13694.6201171875,13694.6201171875,13696.8603515625,13358.2900390625,13485.259765625,4628720000,^IXIC,0.01640470550170625,0.016271602029804714
2022-02-28,13751.400390625,13751.400390625,13810.6396484375,13549.900390625,13570.830078125,5928130000,^IXIC,0.004146173676350395,0.004137601983257069
2022-03-01,13532.4599609375,13532.4599609375,13777.0400390625,13441.3203125,13716.7001953125,6131350000,^IXIC,-0.015921318808865603,-0.01604942456646288
2022-03-02,13752.01953125,13752.01953125,13796.5498046875,13493.91015625,13597.5302734375,5246390000,^IXIC,0.01622466062683925,0.016094447376489046
